Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Супруненко,Аврелій,Омелянович,чоловік,1992-07-28,Етнограф,селище Красногорівка,"узвіз Політкаторжан, буд. 7, Ямпіль, 18292",+380 (76) 026-81-82,tkachenkomarta@example.com
Заїка,Алевтин,Варфоломійович,чоловік,1975-02-28,Журналіст,село Монастирище,"провулок Кишинівська, буд. 92 кв. 4, Герца, 14198",+380 (62) 771-15-90,ktiahnybok@example.org
Чередник,Ярослав,Євгенійович,чоловік,2002-09-30,Дерун,місто Ірпінь,"набережна Нерубайська, буд. 14 кв. 39, Алчевськ, 92165",+380 (42) 967-32-72,edytalesyk@example.com
Дзиндра,Климент,Данилович,чоловік,1985-12-29,Педагог,село Новгород-Сіверський,"шосе Щоглова, буд. 871, Борзна, 14455",+380 83 542-75-01,nataliia38@example.org
Єфименко,Віталій,Павлович,чоловік,1950-12-01,Фермер,селище Василівка ,"площа Марії Демченко 2-й, буд. 18 кв. 60, Ровеньки, 66842",102-10-66,oleksandr59@example.com
Данченко,Лукʼян,Глібович,чоловік,2007-01-03,Візажист,місто Донецьк,"провулок Тінистий, буд. 855 кв. 384, Радивилів, 14996",061 230 68 64,daryna07@example.com
Данилюк,Мартин,Аркадійович,чоловік,2006-02-15,Водій,село Васильків,"узвіз Польова, буд. 315 кв. 559, Білозерське, 49623",+380 (66) 326-94-61,gzhytskaanzhela@example.com
Романенко,Аврелій,Азарович,чоловік,1977-10-07,Перекладач,селище Липовець,"парк Шолохова, буд. 876 кв. 067, Сніжне, 28599",+380 16 659-37-33,artemenkohordii@example.net
Гаврилів,Максим,Адамович,чоловік,1972-06-26,Публіцист,село Гірник ,"площа Високий, буд. 322, Берислав, 87667",+380 90 370 78 45,olysenko@example.com
Перебийніс,Зиновій,Давидович,чоловік,2006-10-07,Підприємець,село Гола Пристань,"узвіз Василя Кандинського 4-й, буд. 38, Коростишів, 41657",316-47-74,vlasiukrozaliia@example.com
Бездітко,Стефан,Макарович,чоловік,1978-07-30,Маркетолог,селище Вугледар,"шосе Тарутинська, буд. 9, Рудки, 01803",+380 34 113-08-74,adapalii@example.org
Сиротенко,Болеслав,Степанович,чоловік,1976-12-24,Біолог,місто Кам'янське,"сквер Ямська, буд. 50, Судак , 48199",+380 65 134-98-65,heorhii09@example.org
Артимишин,Георгій,Азарович,чоловік,2001-02-16,Астронавт,місто Жашків,"набережна Плієва, буд. 32, Кропивницький, 76944",+380 10 429-60-57,oparasiuk@example.net
Прокопович,Амвросій,Августинович,чоловік,1941-05-17,Бухгалтер,селище Пирятин,"парк Східчастий, буд. 955, Великі Мости, 37029",059-63-33,okhudiak@example.com
Ґоляш,Омелян,Алевтинович,чоловік,1964-10-24,Антрополог,селище Ходорів,"набережна Неплія, буд. 703, Макіївка, 21646",424 84 83,dotsenkoiustym@example.net
Байдак,Борислав,Веніяминович,чоловік,2005-06-25,Музикознавець,селище Фастів,"набережна Складська, буд. 5 кв. 545, Козятин, 86987",+380 97 655-99-59,bsomko@example.net
Матяш,Геннадій,Яковович,чоловік,1944-03-18,Сантехнік,селище Шостка,"проспект Туристська, буд. 2 кв. 157, Ірміно, 36003",771-77-25,vanchenkoievhen@example.net
Ґерета,Олесь,Романович,чоловік,1985-05-19,Ботанік,село Пирятин,"провулок Тимірязєва, буд. 24, Ківерці, 45829",076 495-38-95,heorhiiverkhola@example.net
Якименко,Миколай,Орхипович,чоловік,1967-05-27,Агроном,місто Богуслав,"площа Колективний, буд. 747 кв. 485, Ладижин, 99562",074 796 71 51,martynmalyk@example.com
Баштан,Микита,Альбертович,чоловік,1974-01-18,Патологоанатом,село Славута,"провулок Дальницьке, буд. 6 кв. 25, Лохвиця, 97936",+380 (97) 080-45-33,leon39@example.com
Гречаник,Єфрем,Іванович,чоловік,1994-06-19,Парфюмер,хутір Тараща,"провулок Восьмого березня, буд. 278 кв. 427, Подільськ, 50038",037 945-37-63,atamaniukvioletta@example.org
Данько,Трохим,Олександрович,чоловік,1993-02-16,Адвокат,село Сіверськ,"шосе Південно-Санаторний, буд. 48, Генічеськ, 65167",+380 16 524 02 96,nestorkhudobiak@example.com
Хоменко,Юхим,Микитович,чоловік,1972-06-28,Хореограф,місто Конотоп,"парк Кипарисний 1-й, буд. 710 кв. 121, Нікополь, 06963",090 261 12 00,mykolaiavdieienko@example.net
Корпанюк,Тарас,Мирославович,чоловік,2000-01-12,Намотувальник,селище Яворів,"площа Манежна, буд. 5 кв. 8, Славутич, 57666",108 01 24,hryhorii21@example.net
Дейсун,Нестор,Микитович,чоловік,1965-07-08,Паблік рилейшнз,місто Курахове,"вулиця Лейтенанта Шмідта, буд. 506, Судова Вишня, 75180",088 168 60 92,jshmorhun@example.org
Ярош,Варфоломій,Богуславович,чоловік,1967-10-31,Підприємець,місто Рава-Руська,"узвіз Глухий міст, буд. 1 кв. 93, Олександрія, 39569",074 225-97-22,vasylynavobla@example.com
Жадан,Антон,Лукʼянович,чоловік,2005-09-21,Електромонтажник,село Решетилівка,"шосе Парашутний, буд. 86, Залізне, 58487",176 86 03,yskorobohatko@example.org
Харченко,Василь,Остапович,чоловік,1965-09-26,Музичний редактор,село Хирів,"набережна Ялинковий, буд. 181 кв. 81, Новодружеськ, 52951",216 52 96,hiarosh@example.net
Гаврилів,Болеслав,Орестович,чоловік,1949-07-30,Доцент,місто Заліщики,"площа Херсонський, буд. 90, Тернівка , 74159",+380 42 596-88-48,franchukviacheslav@example.org
Безбородько,Павло,Андрійович,чоловік,1953-09-16,Гірник,хутір Ковель,"набережна Ванний, буд. 60, Середина-Буда, 02042",962-76-65,svyrydenkokostiantyn@example.net
Вернигора,Захар,Назарович,чоловік,1995-01-04,Кіноактор,селище Бердичів,"провулок Деревообробний 5-й, буд. 2, Почаїв, 31868",+380 09 717-55-00,rudykkyrylo@example.com
Щириця,Мирон,Гордійович,чоловік,1991-05-14,Лікар,хутір Хирів,"сквер Листяна, буд. 12 кв. 03, Херсон, 95487",+380 12 352-52-43,shtokaloleontii@example.net
Ірванець,Мирон,Романович,чоловік,1998-01-27,Каскадер,хутір Зіньків,"набережна Технічний, буд. 93 кв. 692, Немирів, 10029",+380 (30) 399-99-47,leontii02@example.net
Оніщук,Лесь,Арсенович,чоловік,1943-08-10,Кінорежисер,місто Жданівка,"сквер Віцеадмірала Азарова, буд. 046 кв. 242, Рені, 72534",+380 91 302 50 81,babarychenkodmytro@example.org
Яценюк,Сергій,Васильович,чоловік,1992-04-05,Інженер,село Енергодар,"шосе Бокаріуса Миколи, буд. 38 кв. 584, Красногорівка, 77632",512 02 99,tymofiiavramenko@example.org
Христенко,Демʼян,Федорович,чоловік,1958-07-24,Скульптор,хутір Ворожба,"парк Павлова, буд. 1, Коростишів, 47465",614 89 01,azhuravel@example.org
Акуленко,Панас,Тимофійович,чоловік,1950-05-11,Будник,селище Коростишів,"площа Наклонна, буд. 4, Соледар, 95085",+380 99 452-71-21,viacheslavdrozdenko@example.net
Симоненко,Соломон,Варфоломійович,чоловік,1997-07-02,Кухар,місто Погребище,"вулиця Зоопаркова, буд. 16, Березне, 51707",061 218 17 93,levkodarahan@example.org
